best poster award,bester poster award,C
paragraph,Absatz,C
work,Arbeit,C
headed container,headed Behälter,C
silver sponsorship,Silber Sponsoring,C
program committee member,Programmausschussmitglied,C
manifestation,Manifestation,C
get together event,get together Veranstaltung,C
regular registration,regelmäßige Registrierung,C
proceedings,Verfahren,C
past events,vergangene Ereignisse,C
doctoral consortium,Doctoral Consortium,C
block,Block,C
resource track,Ressourcen Spur,C
author,Autor,C
early bird registration,Frühzeitige Anmeldung,C
publisher,Herausgeber,C
physical medium,physikalisches Medium,C
in use track,in Gebrauch Spur,C
keynote,Keynote,C
research track,Forschung Spur,C
agent class,Agentenklasse,C
collection,Sammlung,C
back matter,Rückenmaterie,C
table,Tabelle,C
conference poster,Konferenzposter,C
publication,Veröffentlichung,C
submission guidelines,Einreichungsrichtlinien,C
meta,Meta,C
container,Container,C
best student paper award,bester Student Paper Award,C
award,vergeben,C
poster chair,poster chair,C
structured,strukturiert,C
late registration,Nachmeldung,C
field,Feld,C
bibliographic resource,bibliografische Ressource,C
demos track,Demos Spur,C
non textual,nicht textliche,C
flyer,Flieger,C
academic event,akademische Veranstaltung,C
keynote speaker,Hauptrednerin,C
bucket,Eimer,C
student registration,Immatrikulations,C
appendix,Blinddarm,C
chair,Vorsitzender,C
sponsorship chair,sponsorship Vorsitzender,C
student,Schüler,C
chapter,Kapitel,C
abstract,abstrakt,C
error 2,Fehler 2,C
location,Standort,C
tutorial chair,Tutorial Chair,C
author registration,Autor Registrierung,C
pattern,Muster,C
event reception,Ereignisempfang,C
industrial conference,Industrie Konferenz,C
file format,Datei Format,C
error 3,Fehler 3,C
symposium,Symposium,C
expression,Ausdruck,C
bronze sponsorship,Bronze Sponsoring,C
conference proceedings,Tagungsunterlagen,C
front matter,Titelei,C
industry track,Industrie Spur,C
proceedings paper,Verfahren Papier,C
important dates,wichtige Daten,C
demo chair,demo chair,C
registration,Anmeldung,C
textual,Text-,C
gold sponsorship,Gold Sponsoring,C
best paper award,bester poster award,C
local organisation chair,Vorsitzende der örtlichen Organisation,C
invited speakers,ladenen Referenten,C
travel information,Reiseinformation,C
best applications paper award,bestes Anwendungen paper award,C
sponsor,Sponsor,C
phd symposium,phd Symposium,C
sponsorship,Patenschaft,C
discourse element,Diskurselement,C
conference paper,Konferenzpapier,C
event series,Veranstaltungsreihe,C
body matter,Körpermaterie,C
expression collection,Ausdruck Sammlung,C
program schedule,Programmplanung,C
workshop chair,workshop chair,C
program chair,program chair,C
research field,Forschungsfeld,C
organizer,Veranstalter,C
period of time,Zeitspanne,C
section,Sektion,C
agent,Agent,C
popup,Pop-up,C
media type,Medientyp,C
working paper,Arbeitspapier,C
