university,Universität,C
proceedings,Verfahren,C
tutorial chair,Tutorial Chair,C
workshop,workshop,C
regular session,ordentliche Tagung,C
invited talk abstract,eingeladen Gespräch abstrakt,C
assigned paper,zugeordnet Papier,C
conference session,Konferenzsitzung,C
track,Spur,C
invited speaker,Redner eingeladen,C
research institute,Forschungsinstitut,C
research topic,Forschungsthema,C
conference paper,Konferenzpapier,C
rejected paper,abgelehnt Papier,C
late registered participant,spät registrierte Teilnehmer,C
location,Standort,C
organising agency,Organisationsbüro,C
person,Person,C
workshop chair,workshop chair,C
conference banquet,Konferenz Bankett,C
individual presentation,individuelle Präsentation,C
regular paper,normales Papier,C
oc member,oc Mitglied,C
possible reviewer,möglich Rezensent,C
pc chair,pc chair,C
demo chair,demo chair,C
student,Student,C
agency staff member,Agentur-Mitarbeiter,C
document,dokumentieren,C
sc member,sc Mitglied,C
programme brochure,Programmbroschüre,C
tutorial abstract,Tutorial abstrakt,C
tutorial,Tutorial,C
industrial paper,Papierindustrie,C
negative review,negative Kritik,C
poster session,Postersession,C
camera ready paper,Kamera bereit Papier,C
web site,Webseite,C
pc member,pc Mitglied,C
presenter,Moderator,C
neutral review,neutrale Bewertung,C
oc chair,oc chair,C
submitted paper,vorgelegtes Papier,C
poster paper,Poster Papier,C
evaluated paper,ausgewertet Papier,C
demo session,Demo-Session,C
proceedings publisher,Verfahren Verlag,C
early registered participant,Anfang registrierte Teilnehmer,C
academic institution,Akademische Einrichtung,C
flyer,Flieger,C
accepted paper,akzeptiertes Papier,C
review,Rezension,C
industrial session,Industrie-Sitzung,C
positive review,positive Bilanz,C
session,Session,C
conference trip,Konferenz Reise,C
contributed talk,beigetragen Gespräch,C
invited talk,eingeladenes Gespräch,C
event,Veranstaltung,C
workshop session,Workshop-Session,C
session chair,Sitzungsvorsitzender,C
paper author,Papier Autor,C
organisation,Organisation,C
conference proceedings,Tagungsunterlagen,C
conference participant,Konferenzteilnehmer,C
paper,Papier,C
demo paper,Demo-Papier,C
scientific event,wissenschaftliche Veranstaltung,C
abstract,abstrakt,C
workshop paper,Workshop Papier,C
multi author volume,Multi Autor Volumen,C
social event,soziales Event,C
conference,Konferenz,C
technically organises,technisch Organisiert,P
presentation of paper,Präsentation von Papier,P
scientifically organised by,wissenschaftlich organisiert von,P
organised by,organisiert von,P
publisher of,Herausgeber,P
held in,gehalten in,P
has review,hat Kritik,P
reviewer of paper,Rezensent Papier,P
author of,Autor von,P
review of paper,Überprüfung von Papier,P
review written by,Rezension geschrieben von,P
has updated version,hat aktualisierte Version,P
paper presented as,Papier präsentiert als,P
organises,Organisiert,P
scientifically organises,wissenschaftlich Organisiert,P
lists event,Listen Veranstaltung,P
references,Verweise,P
technically organised by,technisch organisiert von,P
topic covered by,Thema bedeckt durch,P
inverse of part of 7,Inverse Teil7,P
has part,hat Teil,P
volume contains paper,Band enthält Papier,P
written by,geschrieben von,P
covers topic,Abdeckungen Thema,P
event on list,Veranstaltung auf Liste,P
location of,Position von,P
has reviewer,hat Rezensent,P
part of,Teil von,P
has event,bietet Veranstaltungs,P
updated version of,aktualisierte Version von,P
referenced in,verwiesen,P
paper in volume,Papier im Volumen,P
part of event,Teil der Veranstaltungs,P
