c-0626471-1797386,نسخة جاهزة للتصوير مساهمة,a ready-made camera input,,
c-8113141-9235245,الملخص,abstract,summary,
c-2337113-9613630,مساهمة مقبولة,accepted contribution,,
c-9492774-9575375,مقدم الطلب المؤتمر الذي دفع في وقت مبكر رسوم المؤتمر,applicant conference who paid early conference fees,,
c-2967846-2281939,مقدم الطلب مسجل,applicant registered,,
c-8991961-5349722,طلب مقدم للمؤتمر,application to the conference,,
c-7572666-5228878,الدعوة لتقديم الأبحاث,call for research,,
c-4992494-1216173,دعت الحديث,called,,
c-1807363-8312901,متحدث المدعو,called speaker,,
c-4325776-1848358,اللجنة,committee,board,
c-9851284-7234772,المؤتمر,conference,,
c-0125934-1416375,وثيقة المؤتمر,conference document,,
c-9580737-0090816,المشارك في المؤتمر,conference participant,,
c-4229534-4677341,سلسله المؤتمر,conference series,,
c-6863092-2727817,مسار المؤتمر,conferene path,,
c-2718436-5859788,مساهمة للمؤتمر,contributer to the conference,,
c-5529754-6192352,كاتب المساهمة,contributing writer,,
c-7923834-2744803,مساهمة المؤتمر,contribution of the conference,,
c-4457351-3163362,مساهمة مراجعة,contribution review,,
c-5964669-0394892,إعلان المؤتمر,declaration of the conference,,
c-4961675-7251726,اللجنة التوجيهية,directory committee,,
c-8032682-8401452,البرنامج التعليمي,educationl program,,
c-3902476-0824732,ملخص موسع,extended summary,,
c-5777648-3042243,رسوم من اجل المؤتمر,fees for the conference,,
c-9079156-2235573,رئيس مسار ورشة العمل,head of the workshop track,,
c-4056763-7951670,تاريخ مهم,important date,,
c-2304544-3010010,معلومات للمشاركين,Information for participants,,
c-2970345-8474794,شبكة الإنترنت العنكبوتية للمؤتمر,internet conference web,,
c-7203821-2802871,دعوة للمشاركة,invitation to participate,,
c-5866013-1545087,الكاتب المشترك في المساهمة,joint author in the contribution,,
c-2288869-8161021,الرئيس المشترك,joint chairman,,
c-9955100-5659862,عضو  في اللجنة,member of the committee,,
c-3759244-0340516,محضر المؤتمر,minutes of the conference,,
c-6138490-3576322,لاشيء,nothing,,
c-9046016-5621296,المنظمة,organization,,
c-0764813-4496194,منظم,organizer,arranger,
c-1265118-1481631,اللجنة المنظمة,organizing committee,,
c-9908694-8119394,جزء من المؤتمر,part of the conference,,
c-4150917-3972000,مشارك السلبي في المؤتمر,passive participant in the conference,,
c-3019441-0237831,شخص,person,individual,
c-1296813-5502022,مشارك ايجابي في المؤتمر,positive participant in the conference,,
c-0706106-6101935,ملصق,poster,label,
c-6051142-3591148,افضلية المراجع,preferred references,,
c-8219515-5240767,العرض التقديمي,presentation,,
c-7365880-4475104,رئيس,president,head,chief
c-2516973-9440788,الناشر,publisher,,
c-9575593-9258464,خبرة المراجع,reference experience,,
c-0175211-8599567,المراجع,references,,
c-3327332-2902048,مساهمة منتظمة,regular contribution,,
c-9000252-9592999,مساهمة مرفوضة,rejected contribution,,
c-6736337-6165561,طلب مقدم للمؤتمر الذي دفع مؤخرا رسوم المؤتمر,request to the conference that recently paid the conference fees,,
c-8727034-9492569,طلب مقدم للمؤتمر الذين دفعوا رسوم المؤتمر,request to the conference who paid the conference fees,,
c-7340991-9297285,مراجعة,revision,review,
c-3698535-6373807,اللجنة العلمية,scientific committee,,
c-3316438-2919803,مساهمة مرسلة,sent contribution,,
c-8611158-0499105,البحث,study,research,
c-2664096-5719860,المؤلف الأول للمساهمة,The first author of the contribution,,
c-4142413-0988847,الموضوع,theme,subject,topic
c-9936103-5863237,ورشة عمل,workshop,,
c-2696383-8112981,مساهمة خطية,written contribution,,
